seq_length,pct_hydrophobic,pct_polar,pct_charged_pos,pct_charged_neg,pct_special,subject_id,dataset,task,target,num_labels,primary_label
306,37.91,31.7,12.42,16.67,23.86,Q28165,DeepLoc,classification,,2,Cytoplasm
306,38.24,31.37,12.42,16.67,24.18,Q86U42,DeepLoc,classification,,2,Cytoplasm
951,44.06,30.81,11.04,12.09,17.14,Q0GA42,DeepLoc,classification,,2,Membrane
320,39.06,37.5,10.94,9.38,15.62,P82349,DeepLoc,classification,,3,Membrane
327,44.04,31.5,8.56,12.23,14.07,Q7L5N1,DeepLoc,classification,,2,Cytoplasm
520,35.77,32.12,19.04,10.0,15.96,Q96S94,DeepLoc,classification,,1,Nucleus
159,46.54,32.7,12.58,8.18,15.09,Q9CQ25,DeepLoc,classification,,1,Cytoplasm
1041,47.65,29.39,7.4,13.35,10.95,Q96P70,DeepLoc,classification,,2,Cytoplasm
358,43.3,28.77,11.73,12.57,13.69,P63086,DeepLoc,classification,,3,Membrane
782,44.63,29.41,11.38,12.53,14.19,Q9UID3,DeepLoc,classification,,2,Lysosome/Vacuole
228,50.0,26.75,9.21,11.84,17.11,Q9SE42,DeepLoc,classification,,1,Cytoplasm
660,43.79,36.82,9.39,7.12,22.88,Q01167,DeepLoc,classification,,1,Nucleus
380,43.68,29.47,11.32,12.63,15.53,P21708,DeepLoc,classification,,3,Membrane
655,40.0,33.74,11.6,12.21,14.81,Q8CH72,DeepLoc,classification,,1,Cytoplasm
898,49.33,29.62,10.13,9.13,15.03,P51788,DeepLoc,classification,,2,Membrane
1097,46.13,28.44,8.57,14.31,11.21,Q8BKC5,DeepLoc,classification,,2,Cytoplasm
302,44.7,27.81,12.58,13.25,16.89,Q9NXW9,DeepLoc,classification,,2,Cytoplasm
482,42.74,29.67,12.03,13.28,11.62,P86790,DeepLoc,classification,,2,Membrane
371,53.64,27.22,7.82,8.63,19.68,P23610,DeepLoc,classification,,3,Cytoplasm
365,38.08,33.42,11.78,15.34,10.68,Q9Y2Z0,DeepLoc,classification,,2,Cytoplasm
651,45.31,35.48,9.37,7.22,22.12,Q3UCQ1,DeepLoc,classification,,2,Cytoplasm
327,40.67,35.17,9.17,12.54,14.37,Q7L5D6,DeepLoc,classification,,1,Cytoplasm
489,41.72,33.13,10.84,11.66,12.27,O75439,DeepLoc,classification,,1,Mitochondrion
385,38.7,34.29,12.73,11.43,19.48,Q6RFH5,DeepLoc,classification,,1,Nucleus
911,38.64,34.47,12.18,12.18,16.79,Q9Y2U8,DeepLoc,classification,,2,Membrane
1845,44.39,31.6,11.0,11.27,12.09,Q5VYK3,DeepLoc,classification,,4,Cytoplasm
1321,41.03,36.79,8.1,9.61,20.21,Q9Y2K2,DeepLoc,classification,,1,Cytoplasm
651,42.55,39.32,7.22,7.68,18.28,Q4AE70,DeepLoc,classification,,2,Cytoplasm
246,46.75,31.71,9.76,9.76,14.63,Q9BZM5,DeepLoc,classification,,4,Membrane
